posX,posY,accX,accY,velX,velY
500.000000,0.000000,0.000000,0.000000,0.000000,0.000000
495.482186,2.136164,-4.517814,2.136164,-4.517814,2.136164
491.233255,4.771803,-1.345840,1.501098,-4.248930,2.635639
486.783398,7.051884,-0.668987,-0.115727,-4.449857,2.280081
482.276821,9.217700,-0.163475,-0.062960,-4.506578,2.165816
477.749359,11.338516,-0.020884,-0.045000,-4.527462,2.120816
473.224681,13.460214,0.002784,0.000882,-4.524678,2.121698
468.706380,15.579203,0.006377,-0.002709,-4.518301,2.118989
464.178369,17.699845,-0.011659,0.002566,-4.528011,2.120642
459.649363,19.818359,-0.002091,-0.001615,-4.529006,2.118514
455.122215,21.935910,0.001858,-0.000963,-4.527148,2.117551
450.594249,24.054356,-0.000818,0.000896,-4.527966,2.118446
446.064902,26.172143,-0.002316,-0.000223,-4.529347,2.117787
441.544992,28.296934,0.009436,0.007004,-4.519910,2.124791
437.020854,30.425823,-0.014130,0.008758,-4.524138,2.128890
432.495636,32.552419,-0.009422,0.001627,-4.525217,2.126596
427.977521,34.677576,0.007102,-0.001438,-4.518115,2.125157
423.457312,36.796274,-0.002094,-0.006460,-4.520209,2.118697
418.933214,38.925250,-0.005198,0.010895,-4.524098,2.128976
414.415640,41.057958,0.006524,0.003732,-4.517574,2.132708
409.889137,43.181814,-0.014202,-0.006377,-4.526503,2.123857
405.368628,45.308224,0.005994,0.002553,-4.520509,2.126410
400.839208,47.425855,-0.011817,-0.007420,-4.529420,2.117630
396.314923,49.554431,0.002978,0.011960,-4.524286,2.128577
391.788945,51.671952,-0.001692,-0.011056,-4.525978,2.117520
387.261205,53.792450,-0.001763,0.002978,-4.527740,2.120499
382.735874,55.918805,-0.005067,0.009369,-4.525330,2.126355
378.212054,58.040216,0.001511,-0.004943,-4.523820,2.121411
373.685904,60.164826,-0.009596,0.006609,-4.526150,2.124610
369.165817,62.290414,0.006062,0.000979,-4.520088,2.125588
364.649436,64.405075,0.003707,-0.010928,-4.516380,2.114660
360.120521,66.523783,-0.014406,0.004924,-4.528915,2.118709
355.603083,68.641789,0.011477,-0.000703,-4.517439,2.118006
351.083534,70.761948,-0.002110,0.002153,-4.519548,2.120159
346.556232,72.884102,-0.008873,0.002521,-4.527302,2.122154
342.028487,74.999604,-0.000443,-0.006652,-4.527745,2.115502
337.503304,77.123891,0.002562,0.008785,-4.525184,2.124287
332.978826,79.252059,-0.002214,0.005255,-4.524478,2.128168
328.455927,81.383583,-0.004103,0.006034,-4.522898,2.131523
323.931311,83.511457,-0.003096,-0.003001,-4.524616,2.127874
319.405537,85.628116,-0.001159,-0.011216,-4.525775,2.116658
314.883873,87.756876,0.004111,0.012102,-4.521664,2.128760
310.360917,89.888276,-0.004400,0.004105,-4.522956,2.131400
305.834059,92.011377,-0.007916,-0.006417,-4.526858,2.123101
301.310058,94.140559,-0.002714,0.008703,-4.524001,2.129182
296.784357,96.266126,-0.004595,-0.002255,-4.525700,2.125567
292.258645,98.391668,-0.000113,0.000022,-4.525712,2.125542
287.734744,100.514036,0.001811,-0.003173,-4.523901,2.122368
283.216397,102.645457,0.005554,0.009052,-4.518347,2.131420
278.695629,104.778008,-0.002421,0.001130,-4.520768,2.132551
274.170903,106.905648,-0.006111,-0.003899,-4.524726,2.127640
269.644033,109.028722,-0.011971,0.000043,-4.526871,2.123074
